,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgzhAvPjE6n7o6K3XFl4AaABAg,Raquel Dobson,"@Johnny Depp - you are NOT JD, stop impersonating as him, it’s fraudulent!",2021-07-24T07:45:52Z,0
1,UgzhAvPjE6n7o6K3XFl4AaABAg,Johnny Depp,"Hello,my beautiful great fans,thanks for your love and support God bless you now and forever, I hope everything is fine you can write me in the hangout app with my email, thanks 
johnnydepp6679@gmail.com",2021-07-23T01:29:11Z,0
2,UgzhAvPjE6n7o6K3XFl4AaABAg,Raquel Dobson,"Jerry did provide a witness statement & character statement for JD for the divorce & aftermath… AH’s lawyers stated whoever works for JD will lie for him… With that thinking, you’d expect AH’s team to apply the same logic to her friends & employees (assistant, etc)…",2021-07-22T19:02:56Z,6
3,UgyPgDeTLXPW9T0wpX94AaABAg,Raquel Dobson,"@Stevie J Raw - thanks! Yep, they have been popping up on other important channels here… awful people! Keep doing what you’re doing Stevie - getting the truth out to the masses 💕",2021-07-24T08:01:05Z,1
4,UgyPgDeTLXPW9T0wpX94AaABAg,Stevie J Raw,Done. This is about the 50th time I’ve reported them. Thanks for letting me know.,2021-07-24T07:57:07Z,2
5,UgzDRZ4fAXezy6PegF54AaABAg,Maya The Bee,@{•ghost girl•} You are right! 👍😊,2021-07-23T17:07:40Z,1
6,UgzDRZ4fAXezy6PegF54AaABAg,{•ghost girl•},they are brainless and biased,2021-07-23T13:43:55Z,2
7,UgyqeXYCTpNkrNte5oV4AaABAg,Johnny Depp,"Hello,my beautiful great fans,thanks for your love and support God bless you now and forever, I hope everything is fine you can write me in the hangout app with my email,depp28743@gmail.com.",2021-07-23T17:33:24Z,0
8,Ugx0ZkWUGdWirKlPWfh4AaABAg,Johnny Depp,"Hello,my beautiful great fans,thanks for your love and support God bless you now and forever, I hope everything is fine you can write me in the hangout app with my email,depp28743@gmail.com.",2021-07-23T17:33:39Z,0
9,UgyxexxWuZpLKDdSp1J4AaABAg,Johnny Depp,"Hello,my beautiful great fans,thanks for your love and support God bless you now and forever, I hope everything is fine you can write me in the hangout app with my email, thanks 
johnnydepp6679@gmail.com",2021-07-23T01:29:21Z,0
10,UgzMCmt2QMqRlndv0ad4AaABAg,Johnny Depp,"Hello,my beautiful great fans,thanks for your love and support God bless you now and forever, I hope everything is fine you can write me in the hangout app with my email, thanks 
johnnydepp6679@gmail.com",2021-07-23T01:33:01Z,0
11,Ugz4oWjTK4ScEygFfEZ4AaABAg,Johnny Depp,"Hello,my beautiful great fans,thanks for your love and support God bless you now and forever, I hope everything is fine you can write me in the hangout app with my email, thanks 
johnnydepp6679@gmail.com",2021-07-23T01:31:51Z,0
12,Ugzr3TBjOpoG6CvMpQl4AaABAg,Ivana Tomasovic,Thank you Johnny for all your love you are great guy love you verry much,2021-07-23T20:34:28Z,0
13,Ugzr3TBjOpoG6CvMpQl4AaABAg,Johnny Depp,"Hello,my beautiful great fans,thanks for your love and support God bless you now and forever, I hope everything is fine you can write me in the hangout app with my email,depp28743@gmail.com.",2021-07-23T17:33:12Z,1
14,Ugwow8vSgd3QK5trZAd4AaABAg,Ivana Tomasovic,Love you Johnny allways,2021-07-24T20:26:54Z,0
15,Ugwow8vSgd3QK5trZAd4AaABAg,Johnny.22 Depp,@Ivana Tomasovic Thanks so much for the love and support please do well to send a direct message to the above gmail,2021-07-24T19:51:00Z,1
16,Ugwow8vSgd3QK5trZAd4AaABAg,Ivana Tomasovic,Love you Johnny forever,2021-07-23T20:12:31Z,0
17,Ugwow8vSgd3QK5trZAd4AaABAg,Johnny.22 Depp,"Hi dear
I really do appreciate want to appreciate you for all of your comments and support you have been showing me over time, And that’s why I have created this platform to be able to reach out to my fan @ Officialjohnny.22depp@gmail.com you can send a direct mail or an invite on hangout messenger",2021-07-22T20:41:59Z,1
18,UgwJYUfsumE8Dj3ZdT14AaABAg,Johnny Depp,"Hello,my beautiful great fans,thanks for your love and support God bless you now and forever, I hope everything is fine you can write me in the hangout app with my email,depp28743@gmail.com.",2021-07-23T17:32:36Z,0
19,Ugxm8lT-UhaBI98csgh4AaABAg,Johnny Depp,"Hello,my beautiful great fans,thanks for your love and support God bless you now and forever, I hope everything is fine you can write me in the hangout app with my email, thanks ❣️❣️❣️♥️♥️
johnnydepp6679@gmail.com",2021-07-23T01:35:05Z,0
20,Ugyt9jY50YxCfmEHMf54AaABAg,Kim Orris,"@{•ghost girl•} with Stevie, you definitely have an 100% honest and reliable source.",2021-07-23T16:57:49Z,1
21,Ugyt9jY50YxCfmEHMf54AaABAg,{•ghost girl•},i totally agree google and youtube totally contradicts each other i need a reliable source to listen to and i hope this channel can help,2021-07-22T20:25:45Z,0
22,UgyIub5js4Z5yj-_Omh4AaABAg,Johnny Depp,"Hello,my beautiful great fans,thanks for your love and support God bless you now and forever, I hope everything is fine you can write me in the hangout app with my email, thanks 
johnnydepp6679@gmail.com",2021-07-23T01:31:31Z,0
23,Ugw9lTWTRNtwUW9Mccd4AaABAg,{•ghost girl•},so sad for johnny my heart crys at the thought of what hes been through 😥,2021-07-22T20:24:22Z,3
24,UgwWOH_Vgaep3fAq6yR4AaABAg,Johnny Depp,"Hello,my beautiful great fans,thanks for your love and support God bless you now and forever, I hope everything is fine you can write me in the hangout app with my email, thanks 
johnnydepp6679@gmail.com",2021-07-23T01:34:05Z,0
25,UgwWOH_Vgaep3fAq6yR4AaABAg,Kim Orris,Bonsoir! :),2021-07-22T19:53:24Z,0
26,UgwTB3vygIrV53M0kBZ4AaABAg,Emily Morton,@Kim Orris that's the theory 😉 but personally I think JD will refuse outright to settle and push to continue with the case 🤞,2021-07-22T20:19:54Z,1
