,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,Ugz9QEB6a-7XeteOwr94AaABAg,Johnny Depp.,Thank you gorgeous,2021-03-27T01:30:59Z,1
1,UgxRTC8E4UJ3FpbJTuZ4AaABAg,Michael Keaton,"💓Thanks for your utmost love and support which has brought me this far. It has been a hard time for me but your support has got me standing even in difficult times. I can't appreciate enough the support of fans who have been really active with issues relating to me...Private message on telegram @johnnydeppllofficial
  

      💓 Much Love ❤️",2021-03-21T14:30:52Z,0
2,Ugz7c8FF6rKXW64MjQZ4AaABAg,Michael Keaton,"💓Thanks for your utmost love and support which has brought me this far. It has been a hard time for me but your support has got me standing even in difficult times. I can't appreciate enough the support of fans who have been really active with issues relating to me...Private message on telegram @johnnydeppllofficial
  

      💓 Much Love ❤️",2021-03-21T14:31:04Z,0
3,Ugzk18A5vI7pnPOd6H94AaABAg,Michael Keaton,"💓Thanks for your utmost love and support which has brought me this far. It has been a hard time for me but your support has got me standing even in difficult times. I can't appreciate enough the support of fans who have been really active with issues relating to me...Private message on telegram @johnnydeppllofficial
  

      💓 Much Love ❤️",2021-03-21T14:32:06Z,1
4,UgwhwSjzdwWIJjeLo6l4AaABAg,Michael Keaton,"💓Thanks for your utmost love and support which has brought me this far. It has been a hard time for me but your support has got me standing even in difficult times. I can't appreciate enough the support of fans who have been really active with issues relating to me...Private message on telegram @johnnydeppllofficial
  

      💓 Much Love ❤️",2021-03-21T14:32:15Z,0
5,Ugy_nJLrO_KuFo-b5CR4AaABAg,Michael Keaton,"💓Thanks for your utmost love and support which has brought me this far. It has been a hard time for me but your support has got me standing even in difficult times. I can't appreciate enough the support of fans who have been really active with issues relating to me...Private message on telegram @johnnydeppllofficial
  

      💓 Much Love ❤️",2021-03-21T14:32:26Z,0
6,UgxMXyFrhcbzlaN1zAJ4AaABAg,Michael Keaton,"💓Thanks for your utmost love and support which has brought me this far. It has been a hard time for me but your support has got me standing even in difficult times. I can't appreciate enough the support of fans who have been really active with issues relating to me...Private message on telegram @johnnydeppllofficial
  

      💓 Much Love ❤️",2021-03-21T14:32:38Z,0
7,UgyywdbxSFbFwocHUV54AaABAg,Michael Keaton,"💓Thanks for your utmost love and support which has brought me this far. It has been a hard time for me but your support has got me standing even in difficult times. I can't appreciate enough the support of fans who have been really active with issues relating to me...Private message on telegram @johnnydeppllofficial
  

      💓 Much Love ❤️",2021-03-21T14:32:49Z,0
8,Ugxx9_YDQct3So2My4Z4AaABAg,Michael Keaton,"@Susie Floozie Thanks for the beautiful words Susie❤️. Are you on telegram? I really appreciate your kind words,love and support. I will love to create a warm atmosphere where you can share more of your opinions and love about my movies. You can look me up on my personal account on telegram application  at your convenience and send me a message @johnnydeppllofficial


❤️Much Love and Stay Safe ❤️",2021-03-23T06:11:36Z,0
9,Ugxx9_YDQct3So2My4Z4AaABAg,Susie Floozie,@Michael Keaton And thank YOU for hanging in there through all this. It's a true pleasure to see the tide finally turning in your favor.,2021-03-21T15:33:27Z,0
