,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,Ugw32FBPJ9i2RanZTL54AaABAg,Annapurna Marukala,#Johnnyisinnocent,2020-12-05T01:09:29Z,2
1,Ugw32FBPJ9i2RanZTL54AaABAg,Brandon Murphy,@Vanessa Stegall pp,2020-11-28T18:44:50Z,0
2,Ugw32FBPJ9i2RanZTL54AaABAg,Janelle Selems,"I feel that it is wrong, what is happening to Johnny Depp. He has been ousted from the FB series & from Pirates of the Carribbean series. Amber Heard gets to continue acting in Aquaman. All on the basis of one libel case against a trashy newspaper that couldn't even get it's facts right. Poor Johnny is being treated as though he is a leper when she is clearly lying. You wanted opinions, you got em. PS, love all your channels Top 10 keep up to good work.",2020-11-28T16:10:26Z,4
3,Ugw32FBPJ9i2RanZTL54AaABAg,Stacy Neuman,"I think she is manipulative, I feel very sorry for Johnny ,this entire scenario has been unfair to him,meanwhile she is laughing her head off.I hope he can recover from this.",2020-11-28T05:41:40Z,7
4,Ugw32FBPJ9i2RanZTL54AaABAg,Suzanna Lee,It’s so unfair Amber is troubled from Leeds uk,2020-11-27T18:09:37Z,3
5,Ugyf6mJFvBxXPcL-YTl4AaABAg,Nikita Alita,"Respect your personal opinion however my personal opinion is they depend on, love, and respect our support when stuff like this happens. I truly believe Johnny needs to know his fans will support him for the intirety of his career.  That's all were doing.",2020-11-30T07:48:07Z,2
6,UgyNQpTpRo-1dczmc5B4AaABAg,Louise Crisp,"@Joshua Hallett Sorry, I didn't mean to snap. It sounded like you were having a go at him and as we know, there's been enough of that over the last few years. Yes you're right about that. The way he's being treated is diabolical and the amount of people that believe he's guilty because of that farce of a ruling makes me wonder what kind of people they really are.  If he was guilty of anything that heinous, she would have a hospital record as long as my arm. Also the T.R.O would not have been dismissed with prejudice. I'm sure if the courts thought there was truth to any of this, they would have prosecuted anyway but it begs the question, why didn't she criminally prosecute him? Because there was absolutely NO proof despite her saying this would be the worst case of DV they've ever seen. Hell, she can't even show receipts for her charity donations. The same stuff comes out of her mouth as she left in their bed! Sorry, rant over. It wasn't exactly directed at you though.",2021-01-01T07:39:57Z,1
7,UgyNQpTpRo-1dczmc5B4AaABAg,Joshua Hallett,@Louise Crisp it means despite being innocent he's being treated as guilty despite the evidence to the contrary,2020-12-31T12:44:32Z,1
8,UgyNQpTpRo-1dczmc5B4AaABAg,Louise Crisp,What on earth is that meant to mean?,2020-12-31T11:58:06Z,0
9,UgyUd1knB2biuY7G6e14AaABAg,Sister Nellie,He's in Gitmo..hahahaha,2020-11-30T02:50:15Z,1
10,UgyxjWU3mtZTsE6bSt14AaABAg,Louise Crisp,She is definitely lying. There is no proof whatsoever of him abusing her but lots of her lying & even admitting to abusing him. The judge said whether she did or not was of no consequence. That's the kind of man that dealt that inept judgement out.,2020-12-31T12:04:45Z,1
11,UgxaUPOPwKed73ekKG14AaABAg,lil k r,"He could write his own script about his life with her kinda like a biography , living with a narrcist is hell on earth plus outing these evil soul suckers because no body really understands narcissistic abuse unless you've lived it it's such a subtle yet life destroying abuse for the survivor of this and being a female it's probably worse if your a male victim Amber is a rotten evil earth demon, love you Johnny",2020-11-28T07:01:38Z,1
12,UgyakYdCh_mV4FCU0mR4AaABAg,Nikita Alita,But he's not Johnny depp,2020-11-28T02:49:12Z,4
