,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgyWF6x-4sW6wripB6Z4AaABAg,Suki B,I never believed Amber for a second. I grew up watching JD. Yes he’s had drug and alcohol problems but he was never violent towards women. This man did pirates for his kids!!!!!! Is that someone that would beat his wife? None of it added up.,2021-04-29T23:42:15Z,0
1,UgyWF6x-4sW6wripB6Z4AaABAg,Tuesday Johnson,I think y'all burp because of some slight anxiety. It's what happens to me when I go to the dentist.😬,2021-04-29T04:26:27Z,0
2,UgyWF6x-4sW6wripB6Z4AaABAg,Vasco Smiljkovski,Amber heard is a narcissistic  psycho who exploited Johnny. She is a liar..no remorse. She likely got paid to try to ruin Johnny's career. Amber is a vile person but Johnny is a wonderful man.,2021-04-28T06:42:08Z,2
3,UgyWF6x-4sW6wripB6Z4AaABAg,idc bozo,Why do people like One Piece? It’s so boring so why do people like it? Those are my thoughts.😁,2021-04-26T19:58:40Z,0
4,UgyWF6x-4sW6wripB6Z4AaABAg,Ashleigh Zeederberg,"She's going down, can't wait to see it",2021-04-25T14:27:32Z,5
5,UgxhY_FonNfJ5dBADn14AaABAg,Leighty Hawke,I'm actually not a victim. I'm a victor. I hate the word victim. I used it in reference to this video.,2021-04-27T06:05:03Z,0
6,Ugwj-TlAvI0SlrTNRV94AaABAg,Denise Metzger,"And vehicular manslaughter, substance abuse, et cetera.",2021-04-27T01:35:52Z,0
7,UgwlocjPZk3zdCbqg2R4AaABAg,[HyperLink Blocked],A karen,2021-04-25T09:57:22Z,0
8,UgzF33GLp-vM1breF394AaABAg,Johnny Depp,"A big thank you to all my fans! What will my name and career be without all of your love and support?
Amidst my darkest days you all stand by me, I do not have all the time in the world to reply, but I do read all your heartwarming comments and truly appreciate all the love. I decided to put a smile on the face of my fans by going through my posts on my official page and hitting up random fans,so I can get to relate with my fans better through discussion, in depth and humour, listening to compliment and criticism on my career walk.
Kindly text me on Hangouts. Here is my email 
Johnnydepp5004@gmail.com
God bless you and thank you once again for the love and support ❤️❤️❤️",2021-04-24T14:00:10Z,0
9,UgzF33GLp-vM1breF394AaABAg,Seeking Eudaimonia,"Usually most abuse victims are more focused in on pieces that mean something to them, that they hurt or broke that. 
You could hurt me, you could break whatever, trash my place, leave bruises, bite marks, but don’t you dare touch my pictures of my mom, or my glasses (yes my ex actually snapped my $600 pair of medically necessary glasses, in front of my face.) you think of those things, you don’t itemize every single item that was out of place. That shit does not matter at all when you are in survival mode",2021-04-24T13:10:17Z,2
