,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,Ugw975d0B4sTBzhr7fR4AaABAg,JOHNNY DEPP,"💓Thanks for your utmost love and support which has brought me this far. It has been a hard time for me but your support has got me standing even in difficult times. I can't appreciate enough the support of fans who have been really active with issues relating to me...Private message on telegram @johnnydeppllofficial
  

      💓 Much Love ❤️",2021-07-30T20:18:54Z,0
1,Ugzpx3UN-tv-2yfit-d4AaABAg,JOHNNY DEPP,"💓Thanks for your utmost love and support which has brought me this far. It has been a hard time for me but your support has got me standing even in difficult times. I can't appreciate enough the support of fans who have been really active with issues relating to me...Private message on telegram @johnnydeppllofficial
  

      💓 Much Love ❤️",2021-07-30T20:29:39Z,0
2,UgzQR0ZA1nmd2o8F4zZ4AaABAg,flyboy152,Except it’s bullshit.  She has not even been charged with a crime.,2021-07-15T05:39:53Z,0
3,UgyS_2y6d3avkRf55Cp4AaABAg,ExtremeHeat,"This pretty much sums up the ""feminist""  movement and how it will lie to achieve supremacy not equality.",2021-07-23T10:32:41Z,0
4,UgzBFIgXQhiqmSl8C4N4AaABAg,Johnny Depp Christopher,"You beautiful Fan's of mine brings the best out of me, your love and support made me the person I am today, I can't thank you enough, I call  you guys my family because you are and are always gonna be a part of my life till I pass on
Message me on my hangouts app.. here's my email address"" johnnydeppchristopher459@gmail.com",2021-06-30T01:34:18Z,0
5,Ugw03uEDy3W_AWycpbp4AaABAg,Geraldine Cowden,"also, you showed nothing or talked about nothing or no ones sentencing her to 4 yrs in prison.",2021-06-24T19:09:20Z,0
6,UgwZvqSjaZQt0YbPNH14AaABAg,Rock Candy,no it isn't. Amber is filming aquaman 2 in UK right now.,2021-07-01T10:44:32Z,0
7,Ugy9qXKTsp6dx-dIkGN4AaABAg,richardscathouse,BS,2021-07-01T13:38:36Z,0
8,UgyVqktuohEzrBriUdJ4AaABAg,Rock Candy,it's not happening ..yet.  clickbait.,2021-06-24T10:27:26Z,0
9,UgwTfldjnqAmuVv7Klt4AaABAg,Chad Castagana,Because she is a woman,2021-08-17T19:49:33Z,0
10,Ugwn1Kv-uSrv8huFUCd4AaABAg,Rock Candy,good pun - but unfortunately title is just clickbait,2021-06-20T11:47:56Z,2
11,Ugy8reAiYfy9BV3QDq14AaABAg,Brittany Sheffield,@millicent dollhouse True that!! 💯,2021-11-06T02:51:10Z,0
12,Ugy8reAiYfy9BV3QDq14AaABAg,millicent dollhouse,Clickbait is off the charts these days and then we wonder why nobody trusts anything. They just out right bold faced lie and everyone just accepts it. It’s crazy.,2021-11-06T01:26:31Z,0
13,Ugy8reAiYfy9BV3QDq14AaABAg,Brittany Sheffield,"@N J  first, close the vid to go back to your homepage and scroll to where you found this vid. Then, instead of clicking on the video thumbnail/title, click on the three dots on right-hand side (next to the vid title) and you’ll see the “don’t recommend channel” option pop up. Hope that makes sense! 😘 
Note: It won’t work with the video open so that’s why I specified “instead of clicking on the video thumbnail/title”.",2021-09-27T01:27:47Z,0
14,Ugy8reAiYfy9BV3QDq14AaABAg,N J,"@Heather Orsborn oh god if never subscribe to stuff like this. Shit just pops up in the feed. The worst is all the tiktoker brain dead culture vultures popping up with their scripted and vapid ""PRANKS.•",2021-09-27T00:53:40Z,1
15,Ugy8reAiYfy9BV3QDq14AaABAg,Heather Orsborn,@N J I don’t think you can just unsubscribe,2021-09-27T00:43:24Z,0
16,Ugzqw7a-TbvHYKKuUpB4AaABAg,Rock Candy,she gave zero...Elon was paying ACLU for her donations and children's hospital got nothing,2021-06-20T11:51:44Z,1
17,UgzX4u5skLnySTLwY5l4AaABAg,Rock Candy,he is suing her next year,2021-06-20T11:53:31Z,0
18,Ugz0S8YsBLZkHTa1Txt4AaABAg,Pikachu smile,Gone Girl. It's freaky how many similarities there are ......,2021-06-20T07:31:13Z,1
