,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgxhLJpkxLQOHuuoaut4AaABAg,Emilia Clarke,"Thanks for your utmost love and support, you can text me on Hangouts app to my mail
emiliaclarke623@gmail.com",2021-05-03T08:34:20Z,0
1,UgwbjT5cm8bUYzufGRd4AaABAg,Johnny Depp,"Thanks for your utmost love and support, you can reach me on Hangout app to my mail
EmiliaClarke623@gmail.com",2021-05-02T23:05:05Z,0
2,UgxlPl7Wp298svVHlfZ4AaABAg,Johnny Depp,"Thanks for your utmost love and support, you can text me on Hangout app to my mail
EmiliaClarke623@gmail.com",2021-05-03T05:22:42Z,0
3,UgynahFdC4WhSjYdSwx4AaABAg,Emilia Clarke,"Thanks for your utmost love and support, you can text me on Hangouts app to my mail
emiliaclarke623@gmail.com",2021-05-03T08:26:28Z,0
4,UgxyKLdAASi0FS9vVYx4AaABAg,Emilia Clarke,"Thanks for your utmost love and support, you can text me on Hangouts app to my mail
emiliaclarke623@gmail.com",2021-05-03T08:23:31Z,0
5,UgyNc4nAuAO4idDujEp4AaABAg,Emilia Clarke,"Thanks for your utmost love and support, you can text me on Hangouts app to my mail
emiliaclarke623@gmail.com",2021-05-03T08:26:59Z,0
6,Ugx4fnXxBbe8epOrNdp4AaABAg,Johnny Depp,"Thanks for your utmost love and support, you can text me on Hangouts app to my mail
EmiliaClarke623@gmail.com",2021-05-02T23:07:01Z,0
7,UgxB-gkgdtjyAcpJKmV4AaABAg,Johnny Depp,"Thanks for your utmost love and support, you can text me on Hangouts app to my mail
EmiliaClarke623@gmail.com",2021-05-02T23:08:59Z,0
8,UgzNnzyyO0lmp8kl69h4AaABAg,Johnny Depp,"Thanks for your utmost love and support, you can reach me on Hangouts app to my mail
EmiliaClarke623@gmail.com",2021-05-02T20:27:42Z,0
9,UgxE_i1F0UR19nqEY-d4AaABAg,Johnny Depp,"Thanks for your utmost love and support, you can text me on Hangout app to my mail
EmiliaClarke623@gmail.com",2021-05-03T06:10:29Z,0
10,UgzDZBMzE7PK9xmg1rl4AaABAg,Emilia Clarke,"Thanks for your utmost love and support, you can text me on Hangout app to my mail
emiliaclarke623@gmail.com",2021-05-03T08:35:48Z,0
11,UgzFF7oVZrm5Mqai6v94AaABAg,Emilia Clarke,"Thanks for your utmost love and support, you can text me on Hangouts app to my mail
emiliaclarke623@gmail.com",2021-05-03T08:26:14Z,0
12,UgxpM3gcqF7PAPRmVOZ4AaABAg,Johnny Depp,"Thanks for your utmost love and support, you can text me on Hangouts app to my mail
EmiliaClarke623@gmail.com",2021-05-03T05:21:11Z,0
13,UgxWlXz3IVUEKBilsq54AaABAg,Johnny Depp,"Thanks for your utmost love and support, you can text me on Hangouts app to my mail
EmiliaClarke623@gmail.com",2021-05-03T05:17:29Z,0
14,Ugx-0aYc1RG5pJJyvHF4AaABAg,Emilia Clarke,"Thanks for your utmost love and support, you can text me on Hangouts app to my mail
emiliaclarke623@gmail.com",2021-05-03T08:30:13Z,0
15,Ugyl91K9LCk8EVRE-tR4AaABAg,Johnny Depp,"Thanks for your utmost love and support, you can text me on Hangout app to my mail
EmiliaClarke623@gmail.com",2021-05-03T06:21:57Z,0
16,UgwdFN81CcdHYsgzfAZ4AaABAg,Johnny Depp,"Thanks for your utmost love and support, you can text me on Hangout app to my mail
EmiliaClarke623@gmail.com",2021-05-03T05:22:25Z,0
17,Ugxtn_mx_PvUGhA3hvV4AaABAg,Emilia Clarke,"Thanks for your utmost love and support, you can text me on Hangouts app to my mail
emiliaclarke623@gmail.com",2021-05-03T08:28:14Z,0
