,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,Ugxdws4Gm3AHGNMl_vl4AaABAg,eHacker,"Ya. Great points, Jannet",2021-08-02T12:34:52Z,0
1,UgxCxEkj00L7Rqs0XAl4AaABAg,eHacker,Thanks Peggy!,2021-07-31T09:10:45Z,1
2,Ugx-E68WW7MwHRSPL4h4AaABAg,eHacker,Thanks for stopping by Emily,2021-07-31T07:57:24Z,0
3,UgxADNc-u3TTFQ485Vh4AaABAg,clacoose007vibes,"There's something we can all do; we can avoid any doc, movie, commercial, or porn flick she's in. I ain't paying that skank's salary in any form.",2021-07-30T22:31:59Z,1
4,UgzVkuaFds0FtemBot14AaABAg,Sunshine,"Never thought about that, but it can be very true. I somewhere read she was not the actress supposed to play in the rum diary, but got in the movie somehow. Maybe that's were and how it all started. Murdochs own son won't even work with his father anymore and quit. That says a lot.",2021-07-30T17:09:21Z,3
5,UgzVkuaFds0FtemBot14AaABAg,Tanya Campbell,@eHacker No thanks I'll leave that to the experts lol,2021-07-30T16:36:25Z,1
6,UgzVkuaFds0FtemBot14AaABAg,eHacker,You should make videos,2021-07-30T15:59:15Z,1
7,UgzczNp8_Wst_paw31V4AaABAg,eHacker,"Thanks, Debbie! Not really lol. Lowest views in over a year. But I’m liking the Minamata Japanese theme.",2021-07-30T15:30:47Z,2
8,UgyEL1hVsSggkJt8ME94AaABAg,eHacker,Thanks for stopping by! Two more videos this weekend at least and hopefully a live-stream!,2021-07-30T15:09:12Z,2
9,Ugw6mthNyy8b20druKZ4AaABAg,Jan Price,@yellow beard james gibson hi James! Hope you're staying inside bc it's 100 here & I know it's gotta be worse there.,2021-07-31T20:14:22Z,0
10,Ugw6mthNyy8b20druKZ4AaABAg,yellow beard james gibson,@Jan Price Hi Jan & Thanks for the comment,2021-07-30T21:37:49Z,1
11,Ugw6mthNyy8b20druKZ4AaABAg,Jan Price,I agree also.,2021-07-30T18:55:56Z,1
12,Ugw6mthNyy8b20druKZ4AaABAg,eHacker,Absolutely agree! Thanks for stopping by James,2021-07-30T14:55:18Z,0
13,UgyoOebCHNkE21OF6JF4AaABAg,Louise Barker,Best news ever!! Go Mason lol,2021-07-30T22:24:06Z,5
14,UgyoOebCHNkE21OF6JF4AaABAg,Jan Price,"Good, that's great news!",2021-07-30T18:54:43Z,5
15,UgyoOebCHNkE21OF6JF4AaABAg,Rock Candy,that's excellent!,2021-07-30T15:08:35Z,5
16,UgyoOebCHNkE21OF6JF4AaABAg,eHacker,Ya! I gotta get on that! Thanks,2021-07-30T13:07:41Z,8
17,UgzsVQNwJgE7felCmNx4AaABAg,eHacker,It’s much appreciated,2021-07-30T13:55:08Z,1
18,UgzsVQNwJgE7felCmNx4AaABAg,Hippie Gal,@eHacker you welcome. Apprexiate you. Stand with you forever also!!!🤗💚🤎,2021-07-30T13:24:04Z,1
19,UgzsVQNwJgE7felCmNx4AaABAg,eHacker,Thanks for stopping by Hippie Gal,2021-07-30T13:10:52Z,1
20,UgwYCiMT7N4ddVqRKMR4AaABAg,clacoose007vibes,And thank heavens they're advertising AH in up coming movies; we'll know which movies to avoid.,2021-07-30T18:54:23Z,3
21,Ugyz4F_Y02MBhpWNhTV4AaABAg,Anna Laura Prictor,I agree with you cause seems really fishy about this.,2021-08-01T12:12:02Z,0
22,Ugyz4F_Y02MBhpWNhTV4AaABAg,people are crazy,Totally agree with you on this. She seems to get away with so much evil. Can't wrap my heard around it.,2021-07-31T04:51:23Z,1
23,Ugyz4F_Y02MBhpWNhTV4AaABAg,Jan Price,Oh I so agree!,2021-07-30T18:55:07Z,0
24,Ugyz4F_Y02MBhpWNhTV4AaABAg,Sunshine,"I agree, have the same feeling.",2021-07-30T16:44:50Z,1
25,Ugyz4F_Y02MBhpWNhTV4AaABAg,Hippie Gal,I agree and Musky balls has alot of power probably with all that money!!! Johnny sure dont deserve this!!!! Heart of gold🤎🤎🤎🤎🤎🤎🤎🤎,2021-07-30T13:06:01Z,7
