,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgyLblnrcBKZXlogOsN4AaABAg,Tiffany C,"Judge in the UK trial also had a son who worked for talk radio UK, which is owned by Rupert Murdoch.",2021-05-27T18:59:56Z,0
1,UgxanxcjxFDwKGbz-q14AaABAg,Denise Metzger,"@Lucrezia Morganti lol I'm  not judging.   Perhaps you should educate yourself as to who Amber is before  assuming that other people are simply judging.  She *was* enjoying the attention...the game.  She and her attorneys set it up, just like they do every public appearance she makes.  She *always* pre-arranges her public appearances.  Liking or disliking someone has nothing to do with my comment.  I was simply stating fact.",2020-12-28T09:16:43Z,1
2,UgxanxcjxFDwKGbz-q14AaABAg,Lucrezia Morganti,"@Denise Metzger we are really in a fucked up world if people have even lost a remote sense of objectivity just because they don’t like a person. That’s just obvious!!! The  paparazzi are harassing her and you’ll never how she was really feeling, so stop judging and take care of your business.",2020-12-28T08:58:48Z,0
3,UgxanxcjxFDwKGbz-q14AaABAg,Denise Metzger,"No, it should be titled Scamber Turd loving the attention.",2020-12-10T07:12:38Z,1
4,Ugyk3OajTKY4saULhz54AaABAg,Denise Metzger,"No, they're filming the monster.",2020-12-10T07:13:43Z,1
5,UgzW-tk7KOPhy-csJx54AaABAg,Sofía,"@gaysy1st don't waste your time, that's clearly one of the incels who hates Amber and all women.",2020-11-10T05:14:23Z,1
6,UgzW-tk7KOPhy-csJx54AaABAg,gaysy1st,@Pianogram And I suppose you're exposing the true nature of Men?,2020-10-19T01:26:00Z,3
7,UgzW-tk7KOPhy-csJx54AaABAg,Sidney Prescott,She's an idiot,2020-07-31T21:35:04Z,0
8,UgzW-tk7KOPhy-csJx54AaABAg,Pianogram,AH exposing the true nature of women 🖤,2020-07-28T11:11:27Z,1
9,UgxnbSpcbqE6cvqFcVp4AaABAg,C Mo,Anger Turd,2020-07-29T04:02:11Z,1
10,UgxnbSpcbqE6cvqFcVp4AaABAg,Casey,*Scamber,2020-07-28T18:11:15Z,2
11,Ugzls2hI3aYRQQOCDwh4AaABAg,gaysy1st,And the rest!,2020-11-10T09:19:08Z,0
