,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgzDbbcToz3UIDIbzAt4AaABAg,Tania Haeussler,Narcs never sincerely apologize,2020-10-01T01:38:24Z,0
1,Ugwph8LtVKVMK-ztfKV4AaABAg,Stacey Vitale,"Joan Hesse come on...tell us!  I can’t sift through hours of video, please?",2020-10-01T01:04:46Z,2
2,UgyMo9xJ2jqXCjkM8GV4AaABAg,Doctor Soup,I see where you are coming from. I agree.,2020-09-21T00:08:41Z,1
3,UgwVi08XPdDPGCaNwvx4AaABAg,Eagles Sixers Fan Keepingitreal,Shelby continue your great posting and the good fight for Johnny! 👏🏽👏🏽👏🏽,2020-10-04T13:51:32Z,0
4,UgyXqqebH0VTW49vsz94AaABAg,Doctor Soup,Shadoe Moon thanks so much!,2020-09-19T23:22:00Z,1
5,UgwaZRyIiJRZFL1qMUF4AaABAg,Nafsi,"@Doctor Soup well she was hiding a illegal immigrant in form friend. There is a saying in my language ""Chorer mon police police"" thieves always think they are getting caught.",2020-09-19T23:42:16Z,2
6,UgwaZRyIiJRZFL1qMUF4AaABAg,Doctor Soup,"Mindyour fuckingbusiness Hey there, sorry about that! It’s essentially an area in which people are able to checked for legal or non-legal immigration status. Amber was implying that those who are nannies, landscapers etc . are somehow automatically illegal immigrants.",2020-09-19T23:27:12Z,4
7,Ugx9V0YJ2AcNt1_jg2d4AaABAg,Wendy Burns,She’s a fart girl,2020-09-20T04:07:41Z,2
8,Ugx9V0YJ2AcNt1_jg2d4AaABAg,Wendy Woo,Nope she's not hot. Not even close.,2020-09-19T23:02:22Z,5
9,UgzMQYQE-HKn2Nio4gt4AaABAg,Stella Lewis,Well said!,2020-09-20T11:34:36Z,1
10,UgxBCo_e9P2D3zF40sx4AaABAg,Katia Lastovkina,The next post made it sound like she was serious.,2020-10-01T21:46:59Z,0
11,UgxqNSQMdN85QlR0Zex4AaABAg,Katia Lastovkina,"The problem is that she believes the stereotypes she jokes about, and she even showed she was serious in the next post.",2020-10-01T21:45:16Z,0
12,Ugz70isEIzmwzuOqN4l4AaABAg,Tania Haeussler,@Stacey Vitale for real!!!,2020-10-01T01:34:05Z,0
13,Ugz70isEIzmwzuOqN4l4AaABAg,Stacey Vitale,Tatiana M Right???,2020-10-01T00:59:19Z,1
14,UgwM_IdKnS-H-qKc8YR4AaABAg,Doctor Soup,Wendy Burns I agree!,2020-09-20T03:35:50Z,2
15,UgwU9fBKdI4gFZi65R14AaABAg,Kate Vernile,I know about this post but I don’t get it. Can you help me to understand as English is not my first language and I’m not from USA?,2020-10-07T21:50:35Z,0
16,UgwU9fBKdI4gFZi65R14AaABAg,Apocalyptic Viking,@Doctor Soup bring it up every month. That kinda stuff people need reminded. Especially when AH thinks she can't do any wrong when she so damn evil.,2020-09-19T17:42:21Z,9
17,UgwU9fBKdI4gFZi65R14AaABAg,Doctor Soup,I decided to post about it because some people may not be aware. I can't believe this woman...,2020-09-19T17:40:59Z,9
