,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgzpWXf0iCN5gluWZgJ4AaABAg,Johnny depp,"💞💞I want to specially appreciate you for being a big fan for your nice comments on my post it means alot to me I want you to send me a direct message via Google chat using my personal email or you can as well indicate below also endeavor to add your name to the text so I can know you are the one texting because I don't reply unnecessary messages

Google chat mail:
johnnydepp6003@gmail.com

NB:Do not send an email,I won't respond",2021-10-13T04:33:57Z,0
1,Ugzrmt5HkdGDms4eEO14AaABAg,Johnny depp,"💞💞💞I want to specially appreciate you for being a big fan for your nice comments on my post it means alot to me I want you to send me a direct message via Google chat using my personal email or you can as well indicate below also endeavor to add your name to the text so I can know you are the one texting because I don't reply unnecessary messages

Google chat mail:
johnnydepp3099@gmail.com

NB:Do not send an email,I won't respond",2021-10-07T20:17:09Z,0
2,UgzxHy_DnLr0najJpoV4AaABAg,kakishi 19,"@Johnny depp IMPERSONATING JD IS CREEPY AND WEIRD. No one is stupid enough to fall for it, you need to stop insulting JD, he would never do this, and also, he's got better things to do than reply to some random YouTube comment THAT DOESN'T EVEN MENTION HIS NAME.",2021-10-08T01:45:29Z,1
3,UgziXSJDFlx-7Ifppj54AaABAg,Johnny Depp,💕💓Thanks for your utmost love which has brought me this far. It has been a hard time for me but your support got me going. Where are you watching from?💕,2021-09-26T18:43:03Z,0
4,UgxSqZCmyt89YISIVjV4AaABAg,Johnny Depp,💕💓Thanks for your utmost love which has brought me this far. It has been a hard time for me but your support got me going. Where are you watching from?💕,2021-09-26T18:43:18Z,0
5,Ugwdi_zfZ6eHCDrPSdZ4AaABAg,Johnny depp,"💞💞I want to specially appreciate you for being a big fan for your nice comments on my post it means alot to me I want you to send me a direct message via Hangout using my personal email or you can as well indicate below also endeavor to add your name to the text so I can know you are the one texting because I don't reply unnecessary messages

Hangout mail:
johnnydepp3099@gmail.com

NB:Do not send an email,I won't respond",2021-09-21T02:45:52Z,0
6,UgzYegg2mN8ZnkSF4ad4AaABAg,Johnny depp,"💞💞💞I want to specially appreciate you for being a big fan for your nice comments on my post it means alot to me I want you to send me a direct message via Hangout using my personal email or you can as well indicate below also endeavor to add your name to the text so I can know you are the one texting because I don't reply unnecessary messages

Hangout mail:
johnnydepp3099@gmail.com

NB:Do not send an email,I won't respond",2021-09-17T05:14:03Z,0
7,Ugx3ZjklQIRYQwEwiBt4AaABAg,Johnny depp,"💞

💞I want to specially appreciate you for being a big fan for your nice comments on my post it means alot to me I want you to send me a direct message via Hangout using my personal email or you can as well indicate below also endeavor to add your name to the text so I can know you are the one texting because I don't reply unnecessary messages

Hangout mail:
johnnydepp80000@gmail.com

NB:Do not send an email,I won't respond",2021-10-27T11:20:31Z,0
8,Ugz5UXOAevmXTdFrqkB4AaABAg,Johnny depp,"💞
💞I want to specially appreciate you for being a big fan for your nice comments on my post it means alot to me I want you to send me a direct message via Hangout using my personal email or you can as well indicate below also endeavor to add your name to the text so I can know you are the one texting because I don't reply unnecessary messages

Hangout mail:
johnnydepp3099@gmail.com

NB:Do not send an email,I won't respond",2021-09-03T09:35:01Z,0
9,Ugz4SpJEjbijBhlYTDt4AaABAg,Johnny depp,"💞💞
I want to specially appreciate you for being a big fan for your nice comments on my post it means alot to me I want you to send me a direct message via Hangout using my personal email or you can as well indicate below also endeavor to add your name to the text so I can know you are the one texting because I don't reply unnecessary messages

Hangout mail:
johnnydepp3099@gmail.com

NB:Do not send an email,I won't respond",2021-09-03T09:35:23Z,0
10,UgxPlR4m3a0DNGvH1fx4AaABAg,Johnny depp,"💞💞

💞I want to specially appreciate you for being a big fan for your nice comments on my post it means alot to me I want you to send me a direct message via Hangout using my personal email or you can as well indicate below also endeavor to add your name to the text so I can know you are the one texting because I don't reply unnecessary messages

Hangout mail:
johnnydepp3099@gmail.com

NB:Do not send an email,I won't respond",2021-09-03T09:36:57Z,0
11,UgxF8awF512BMsi13GJ4AaABAg,Johnny depp,"💞💞
I want to specially appreciate you for being a big fan for your nice comments on my post it means alot to me I want you to send me a direct message via Hangout using my personal email or you can as well indicate below also endeavor to add your name to the text so I can know you are the one texting because I don't reply unnecessary messages

Hangout mail:
johnnydepp3099@gmail.com

NB:Do not send an email,I won't respond",2021-09-03T09:37:13Z,0
12,Ugyv4YhwSyb1PElUKAF4AaABAg,Johnny Depp,"Hello dear, thanks for being a great fan !!",2021-07-30T09:50:33Z,1
13,UgxnCCDl-pScMGx6RgF4AaABAg,Von D,"@sgshumblecrumb And she's probably gonna look clean af, no ruined teeth or eyeliners or anything. Re-name Jean Penguin",2021-11-16T06:34:06Z,0
