,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgyC92l2RKeMYfxuz7t4AaABAg,WHATEVER00100100,I mean fantastic beasts 3,2020-09-04T22:58:08Z,0
1,UgyrXaa0KqfOLS7lpox4AaABAg,Bela Rus,"it's their doll, and the only buyers of cinema tickets are stupid people nowadays.",2020-09-05T10:46:22Z,0
2,UgxritfvPqu16Hc7XXZ4AaABAg,Johnny Depp,Am happy that my fans are supporting me..i would love to know more about you..here is my hangout detail ..johndeppll1963@gmail.com,2020-09-04T11:13:46Z,0
3,Ugw6VXskfiPT6ZqTDMN4AaABAg,Hisana Nasreen,"Not yet, finger crossed for jd🤞",2020-09-06T07:49:12Z,1
4,UgztY4zXUB0MZ2BJlfx4AaABAg,Sean B,@Joni Compton I completely agree.,2020-09-03T19:52:54Z,2
5,UgztY4zXUB0MZ2BJlfx4AaABAg,Joni Compton,I would hope if it is filmed without Johnny Depp that it bombs in a big way!! I won’t watch it for sure. Johnny Depp IS Pirates of the Caribbean as far as I’m concerned!,2020-09-03T19:48:28Z,2
6,UgxNLnur8VsjhjPEaFN4AaABAg,Joni Compton,That’s an interesting thought there. 🤔,2020-09-03T19:51:58Z,0
7,UgxuOIMz6uC9ooIf3F54AaABAg,Gina. G Harper,Charles Rast yes,2020-09-04T11:09:20Z,2
8,UgxuOIMz6uC9ooIf3F54AaABAg,Niki Bechus,Uuumm! YES.,2020-09-03T22:15:00Z,2
9,Ugy1wW9FKpkd0sNmygN4AaABAg,petra r.,"yeah but even if her lawyers are in for the money, they destroy their own reputation as lawyers 🤷🏼‍♀️ why would they do that?",2020-09-05T19:23:26Z,0
10,Ugy1wW9FKpkd0sNmygN4AaABAg,Bela Rus,"In this particular case it doesn't say anything about the wrongdoings if one can pay and get better lawyers, cause he already went through many divorces. Only thing matters here is the case, that the independent laws are not to be politized, what ""me, too"" was all about and that some Youtube-men discuss the case, which is a private matter. That's why Amber loses the support from those who want to politize ""women"" and their cases.",2020-09-05T10:41:38Z,0
11,UgwNuNNOB5ZFIu5zyEl4AaABAg,Selene A,"I can imagine the judge giving a huge sigh, commenting 'Will let the sensible lawyer kick this out of the park'.",2020-09-04T08:27:21Z,0
12,UgzJR7JjxY9uo5kKBul4AaABAg,Selene A,I agree with Kate. It makes me wonder if Ms H's ex-team bailed out because of her demands.,2020-09-04T08:25:28Z,1
13,UgzJR7JjxY9uo5kKBul4AaABAg,Bea Nurczyk,😂,2020-09-03T18:47:57Z,3
14,UgxC2WFtusyvJ9WH6SZ4AaABAg,Marina Wahl,I watched it last year as well. Disappointed!,2020-09-05T22:05:56Z,0
15,UgxC2WFtusyvJ9WH6SZ4AaABAg,Dry Rain,"@Marina Wahl maybe you'll like season 8, just continue watching it. It might just me that got disappointed :)",2020-09-05T19:36:28Z,1
16,UgxC2WFtusyvJ9WH6SZ4AaABAg,Marina Wahl,Now i'm scarred. Why did u say that? I'm not even over season 8 yet. Still have nightmares and watch the wtf version 🙈,2020-09-05T17:12:23Z,1
17,Ugxkcf4dC0UwSykO_r14AaABAg,Niki Bechus,"I may be wrong but I thought perhaps it's also that it rhymes with 'Heard'. 
So by saying Amanda Turd it sounds like a play on words. Could just be me tho!",2020-09-03T22:12:19Z,0
18,Ugxkcf4dC0UwSykO_r14AaABAg,Bridgey,There’s a photo of it taken by the property manager. Johnny wanted a divorce after that incident. She is just revolting 🤮,2020-09-03T16:20:09Z,2
19,Ugxkcf4dC0UwSykO_r14AaABAg,Brenda May Fuller,"She supposedly took a dump in their bed, and tried to blame it on the dog.  
That and she is just an unpleasant person to be around, and the name stuck.",2020-09-03T15:30:40Z,1
20,Ugxkcf4dC0UwSykO_r14AaABAg,kelkenkat,"Um yes,  she pooped in his bed.",2020-09-03T15:29:12Z,1
21,UgxtNbVs7XkpCx-oO2F4AaABAg,Joni Compton,Ambers depositions alone sounds like she is getting desperate! Justice for Johnny!,2020-09-03T19:37:49Z,0
22,UgxO7vzXU9V6kMyG26x4AaABAg,Sadiecat,LMAO!!!,2020-09-08T21:51:32Z,1
23,UgxO7vzXU9V6kMyG26x4AaABAg,ZeroTheChronicle,Now she create 7 more acc to dislike thia video,2020-09-08T07:25:39Z,1
24,UgxO7vzXU9V6kMyG26x4AaABAg,Alain,🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 right on,2020-09-07T18:37:00Z,1
25,UgxO7vzXU9V6kMyG26x4AaABAg,Ashley Ortiz,😂😂😂,2020-09-05T02:36:35Z,0
26,UgxO7vzXU9V6kMyG26x4AaABAg,Jack Tomlin,HA!  Nice!,2020-09-03T21:33:35Z,3
27,Ugzr6xJDy-XoZ53BhHp4AaABAg,SANDRA Coulon,IDK how it got this far but I'm glad JD is fighting back.  It's for ALL OF US SILENT MAJORITY,2020-10-11T20:59:58Z,1
28,UgzHSk2hx2jTw0VmSqd4AaABAg,Joni Compton,"Is it true because he sued the Sun and not Amber that Amber did not have to actually appear in court? I’ve heard that. She did not do herself any favors, liar that she is by appearing in court.",2020-09-03T19:50:44Z,0
29,UgzHSk2hx2jTw0VmSqd4AaABAg,Bridgey,Absolutely,2020-09-03T16:13:48Z,1
30,UgzHSk2hx2jTw0VmSqd4AaABAg,Hisana Nasreen,Yes he can use that. Lost beyond pluto explained that in her previous video,2020-09-03T15:12:44Z,1
31,UgxXmPHN4mpipodjaap4AaABAg,M P,"@Christian Murray he shouldn't have made embryos with trash, shoulda know better.",2020-09-05T17:41:21Z,1
32,UgxXmPHN4mpipodjaap4AaABAg,Marina Wahl,I agree. He could make a mess,2020-09-05T17:18:20Z,1
33,UgxXmPHN4mpipodjaap4AaABAg,Christian Murray,Elon is spending his cash buying super cool rockets he is not buying into trash 👍,2020-09-05T03:45:30Z,1
34,UgxXmPHN4mpipodjaap4AaABAg,M P,@PureSparkles22 Someone needs to tell Elon and Amber.  Lol,2020-09-04T12:26:06Z,2
35,UgxXmPHN4mpipodjaap4AaABAg,Sharon B,I'd say that Elon has moved on,2020-09-04T10:57:14Z,1
36,Ugxnwcd4Tn6_SAsgAPp4AaABAg,Louis DiMaggio,Will u marry me...lol,2020-09-03T21:47:19Z,0
37,UgyO1Kg-wTth9dlwxJ94AaABAg,Betty Boop,"@Stacy thanks I did lose sight of the fact that she was not referring to the UK case and I take it that the US operate more on shall we say ""codified"" law and not common law unlike most commonwealth countries..",2020-09-03T15:37:07Z,0
38,UgyO1Kg-wTth9dlwxJ94AaABAg,Mbali Mtshali,Stacy no stress.. enjoy the rest of your day 💐,2020-09-03T15:31:04Z,2
39,UgyO1Kg-wTth9dlwxJ94AaABAg,Stacy,"@Mbali Mtshali - Sorry, meant that reply for Betty Boop not a response to yours. That wasn't clear, my fault.",2020-09-03T15:26:53Z,0
40,UgyO1Kg-wTth9dlwxJ94AaABAg,Mbali Mtshali,"Stacy thanks Stacy, my response inferred an answer irrespective of jurisdiction. Courts do not like delays, and especially due to force majeure neither party is liable for the pandemic delays, however, this should not obstruct any litigants access to justice.",2020-09-03T15:21:15Z,0
41,UgyO1Kg-wTth9dlwxJ94AaABAg,Stacy,"Just an FYI, this is for the case Johnny vs. Amber in the US, Virginia. The one in London is just waiting the decision, so it's pretty much over with. Unless they try to appeal, whatever decision is made.",2020-09-03T15:13:11Z,0
