,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgwktqB0uBecCP2cCUd4AaABAg,Arianna Gila,🤷,2021-10-27T18:49:06Z,2
1,UgwS9vGUY3v0-0LkVNR4AaABAg,JG Martinez,Scary truth,2021-03-11T23:46:31Z,1
2,UgzWWg0eJVsbkVePj-N4AaABAg,Arianna Gila,"""She"" is pathetic",2021-08-11T19:48:11Z,1
3,Ugy1HG537Qm4Xdc-NZJ4AaABAg,Elisa Mingo,"also her superior lip twisted to one side, as if she's talking about something disgusting.",2021-05-28T23:48:07Z,2
4,Ugy1HG537Qm4Xdc-NZJ4AaABAg,spellywelly,Those micro-expressions.Well spotted! She’s nodding her head when she talks about directors she’d like to work with.,2020-10-31T22:10:38Z,5
5,UgymE9KOm689Nl9rTQZ4AaABAg,Arianna Gila,"😂😂😂😂😂😂😂 yeah, sure! 🤣🤣🤣🤣🤣🤣🤣🤣",2021-10-27T18:50:47Z,0
6,UgymE9KOm689Nl9rTQZ4AaABAg,Vee B,Most actors in Hollywood have worked with him or have aspired to work with him,2021-02-06T08:47:40Z,0
7,UgwYN7U6-TgRoQvMWNp4AaABAg,Arianna Gila,"Really, quite a shame 🤦🤦🤦",2021-08-11T20:06:54Z,1
8,UgwYN7U6-TgRoQvMWNp4AaABAg,Lite Hold,@missdimples1982 - Agree!,2020-10-20T21:38:51Z,2
9,UgwYN7U6-TgRoQvMWNp4AaABAg,missdimples1982,"She is a terrible person too, that seems her only consistent strength, being terrible",2020-10-20T21:00:58Z,3
10,UgyDnIjqFGPSndMAHLh4AaABAg,Arianna Gila,"@Lilyanna what are u talking about? So, cause of his past, some fights with friends or problems with authorities, he is a potential wife beater? Are you crazy or what? What fucking this means? 
His a rebel, not a wife beater. He is maybe to much sensible, not a wife beater.
Shut up.",2021-08-11T19:59:33Z,2
11,UgyDnIjqFGPSndMAHLh4AaABAg,Ina Kristine,She almost killed Johnny💀,2020-08-24T22:13:07Z,7
