,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgyXjPyWBn3yZB7rTEJ4AaABAg,Melanie Anne Ware,Yep so is chantix lol I know lol Christmas shelf’s lol,2021-11-05T21:28:06Z,0
1,UgyXjPyWBn3yZB7rTEJ4AaABAg,Melanie Anne Ware,It’s there I know it doesn’t leave.,2021-11-05T21:19:42Z,0
2,UgyXjPyWBn3yZB7rTEJ4AaABAg,Melanie Anne Ware,"I will give u 5 for u Julia.. go ahead…

I don’t know who violent j is…. That’s very rare… he’s my dad. He’s Jesus Christ 

Go ahead",2021-11-05T21:16:59Z,0
3,UgyXjPyWBn3yZB7rTEJ4AaABAg,Melanie Anne Ware,Don’t call them sour grapes then,2021-11-05T21:11:38Z,0
4,UgyXjPyWBn3yZB7rTEJ4AaABAg,Melanie Anne Ware,And may your eyes wipe clean then washem,2021-11-05T21:11:01Z,0
5,UgyxjR1TkV2qhfrEVUF4AaABAg,Dave Thompson,Don’t you know she shits gold bars??,2021-10-23T21:42:55Z,0
6,UgzqW8C6seSSD2SB2ZN4AaABAg,Wuming Said,Such a stupid comment.,2021-10-24T14:15:16Z,0
7,UgzQ5CUHtHmqkyIM2JJ4AaABAg,Leo Apell,Emmm 😳🤨,2021-10-16T15:51:07Z,0
8,UgwSlJvgsVAaY-18ZMF4AaABAg,cookie_,Truly concerning for our future generations tbh,2021-10-13T04:23:29Z,0
9,UgxddECUcKJeWF0BAmZ4AaABAg,Sim Osinnowo,Exactly the same attitude,2021-10-04T22:19:15Z,0
10,UgweIyNZ6ZE1lr9VBj54AaABAg,Mary Smith,LMAO! :D,2021-09-28T12:40:25Z,0
11,Ugxn1v29aRGWjr1ODiR4AaABAg,Dr Disrespect,Ikr,2021-09-24T07:51:01Z,0
12,UgzbKQj4UwTfAwuDAe94AaABAg,Amalan Alavandar,Very common error in placement. Loose v Lose,2021-09-14T03:23:12Z,0
13,UgyW14sL7YTstms2x7l4AaABAg,Robert Robertson,"*I'm a GOOD PERSON!!!  IT has been a MiseraBLe LIFE!!!*
*I am RIGHT with JeHoVah GOD!!!!  That is ALL that MaTTers !!!*",2021-09-08T22:03:15Z,0
14,Ugweg_LLA2e9KJMCaqB4AaABAg,Zodroo Tint,You living in a lie. Your life just like your idol is fake.,2021-09-05T15:18:58Z,0
15,UgxDV_n-LJkwpjxAWht4AaABAg,Mary Smith,That's a good point....,2021-09-28T13:14:20Z,1
16,UgxV56SUEWOyunZiaEV4AaABAg,Tanbir Nr,Mee to only in yt..😂,2021-09-16T11:12:58Z,0
17,Ugz_-Q7GCxHv1u_MwGx4AaABAg,FILTHY HEIR,Yet you still watch the show?,2021-11-18T01:41:07Z,0
18,Ugz_-Q7GCxHv1u_MwGx4AaABAg,avi 89,"I first saw Ellen on her sitcom in the 90s. On her show, I noticed when she smiled, her eyes said something else. She is fake and entitled. She judges ppl by their celebrity and wealth. I can’t see her working on television again. She hasn’t taken responsibility by admitting she has a bad attitude that she wants to change, because she has no insight.",2021-11-05T12:03:32Z,4
19,Ugxc0EpEJfjrM8yl9394AaABAg,"it's me, Georgina","Nah, but all these were talking about how Ellen was ON the show? As a host and boss.
How she is in private, who cares, it is perfectly ok to be tired of fame and limited privacy, every star has been through this I think",2021-08-29T15:34:31Z,0
20,UgytW-tbFf0FP0fdvwd4AaABAg,Vway Retro,dawg..,2021-08-12T12:38:28Z,1
21,UgxWvtFpdAhKimYdWVp4AaABAg,Black Dragon,Her audience? or the show audience? for 17 years....?,2021-09-24T04:26:27Z,0
22,UgwIxbC3A9GbiHc5ovR4AaABAg,David King,@Hapablap legally they can’t at least where I live they can’t,2021-11-17T14:43:06Z,0
23,UgwIxbC3A9GbiHc5ovR4AaABAg,David King,@We Are Caylee Well I have worked in shelters I’ve also been an animal control officer and even if the shelter has a rule like that it is not legal law therefore the parents of a little girl could’ve refused to give the animal back if the story is even true,2021-11-17T14:39:47Z,0
24,UgwIxbC3A9GbiHc5ovR4AaABAg,David King,@Vicki Rivera Just because she said it happened does not mean that this actually happened,2021-11-17T14:37:01Z,0
25,UgwIxbC3A9GbiHc5ovR4AaABAg,David King,If I was a little girls parents I would’ve told the shelter to go to hell because it’s not like they can break in and physically take the dog,2021-11-17T14:36:07Z,0
