,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgyNXRBRO0N6N5ABoJ54AaABAg,Johnny Christopher Depp,"A big thank you to all my fans!
What will my name and career be without all of your love and support?
Amidst my darkest days you all stood by me, 
I don't have all the time in the world to reply, but i do read your heartwarming comments and i truly appreciate all.
It's the season of love
& so i decided to put smiles on the faces of my fans by going through old posts on my official page and hitting up random fans,
So i can get to relate with my fans better through discussions of depth and humour, listening to compliments and criticisms on career walk.",2021-11-04T07:38:37Z,0
1,UgwETaU-nkGhwio1DMJ4AaABAg,Johnny Christopher Depp,"A big thank you to all my fans!
What will my name and career be without all of your love and support?
Amidst my darkest days you all stood by me, 
I don't have all the time in the world to reply, but i do read your heartwarming comments and i truly appreciate all.
It's the season of love
& so i decided to put smiles on the faces of my fans by going through old posts on my official page and hitting up random fans,
So i can get to relate with my fans better through discussions of depth and humour, listening to compliments and criticisms on career walk.💕",2021-11-04T07:39:43Z,0
2,UgzooJfBgfzfCSFclap4AaABAg,_CuteGirl_JD_,missed,2021-10-21T21:14:45Z,0
3,Ugy1KtY4UeNob3XpGeB4AaABAg,Johnny Christopher Depp,"A big thank you to all my fans!
What will my name and career be without all of your love and support?
Amidst my darkest days you all stood by me, 
I don't have all the time in the world to reply, but i do read your heartwarming comments and i truly appreciate all.
It's the season of love
& so i decided to put smiles on the faces of my fans by going through old posts on my official page and hitting up random fans,
So i can get to relate with my fans better through discussions of depth and humour, listening to compliments and criticisms on career walk.",2021-11-04T07:40:34Z,0
4,Ugy2Ggc6_PK9gEmE7nx4AaABAg,_CuteGirl_JD_,I dont know,2021-10-21T21:15:21Z,0
5,Ugyq1r_-KfKwhEXzP2R4AaABAg,_CuteGirl_JD_,I dont know,2021-10-21T21:15:09Z,0
6,UgwWnRGHgaJA-r3vFqN4AaABAg,Johnny Christopher Depp,"A big thank you to all my fans!
What will my name and career be without all of your love and support?
Amidst my darkest days you all stood by me, 
I don't have all the time in the world to reply, but i do read your heartwarming comments and i truly appreciate all.
It's the season of love
& so i decided to put smiles on the faces of my fans by going through old posts on my official page and hitting up random fans,
So i can get to relate with my fans better through discussions of depth and humour, listening to compliments and criticisms on career walk.💝",2021-11-04T07:39:23Z,1
7,UgwX9YDp09mfvoj-v9R4AaABAg,Johnny Christopher Depp,"A big thank you to all my fans!
What will my name and career be without all of your love and support?
Amidst my darkest days you all stood by me, 
I don't have all the time in the world to reply, but i do read your heartwarming comments and i truly appreciate all.
It's the season of love
& so i decided to put smiles on the faces of my fans by going through old posts on my official page and hitting up random fans,
So i can get to relate with my fans better through discussions of depth and humour, listening to compliments and criticisms on career walk.💕",2021-11-04T07:40:00Z,0
8,UgyLOwg1RQKeWcR307h4AaABAg,Johnny Christopher Depp,"A big thank you to all my fans!
What will my name and career be without all of your love and support?
Amidst my darkest days you all stood by me, 
I don't have all the time in the world to reply, but i do read your heartwarming comments and i truly appreciate all.
It's the season of love
& so i decided to put smiles on the faces of my fans by going through old posts on my official page and hitting up random fans,
So i can get to relate with my fans better through discussions of depth and humour, listening to compliments and criticisms on career walk.💕",2021-11-04T07:41:42Z,1
9,UgwqxSdnHUSNABZzzH94AaABAg,Johnny Christopher Depp,"A big thank you to all my fans!
What will my name and career be without all of your love and support?
Amidst my darkest days you all stood by me, 
I don't have all the time in the world to reply, but i do read your heartwarming comments and i truly appreciate all.
It's the season of love
& so i decided to put smiles on the faces of my fans by going through old posts on my official page and hitting up random fans,
So i can get to relate with my fans better through discussions of depth and humour, listening to compliments and criticisms on career walk.❤️",2021-11-04T07:39:51Z,0
10,UgzcuBV3znqxLlOtRAF4AaABAg,Patrizia Abanto,Tutte le donne vorrebbero averlo al loro fianco ma pochissime sono quelle che lo meritano...,2021-09-28T13:16:28Z,0
11,UgxN9MRCgX240dKCm4l4AaABAg,Johnny Christopher Depp,"A big thank you to all my fans!
What will my name and career be without all of your love and support?
Amidst my darkest days you all stood by me, 
I don't have all the time in the world to reply, but i do read your heartwarming comments and i truly appreciate all.
It's the season of love
& so i decided to put smiles on the faces of my fans by going through old posts on my official page and hitting up random fans,
So i can get to relate with my fans better through discussions of depth and humour, listening to compliments and criticisms on career walk.💕",2021-11-04T07:37:30Z,0
12,UgxN9MRCgX240dKCm4l4AaABAg,Mary G,"Love me some Johnny Depp, morning, noon, and night!",2021-08-21T07:27:58Z,2
13,UgxKmy41nQxk5nDuIlB4AaABAg,Johnny Christopher Depp,"A big thank you to all my fans!
What will my name and career be without all of your love and support?
Amidst my darkest days you all stood by me, 
I don't have all the time in the world to reply, but i do read your heartwarming comments and i truly appreciate all.
It's the season of love
& so i decided to put smiles on the faces of my fans by going through old posts on my official page and hitting up random fans,
So i can get to relate with my fans better through discussions of depth and humour, listening to compliments and criticisms on career walk.",2021-11-04T07:39:32Z,0
14,UgxLMXy26aXuGnjZ3Bl4AaABAg,Katherine Lange,@Johnny Christopher Depp I wish you really were JD. None the less. I mean what I say. God bless you too.,2021-11-06T16:50:21Z,0
15,UgxLMXy26aXuGnjZ3Bl4AaABAg,Johnny Christopher Depp,"@Katherine Lange Thanks for your utmost support and love, which has brought me this far. It has been a hard time but your support has got me standing even in difficult times I can’t appreciate enough of this lovely words you said to me. ❤️",2021-11-06T10:41:58Z,0
16,UgxLMXy26aXuGnjZ3Bl4AaABAg,Katherine Lange,"@Johnny Christopher Depp fan? I am an admireror of his faith, honesty, and ❤. Will continue while my heart beats. This is so important.",2021-11-05T18:00:35Z,1
17,UgxLMXy26aXuGnjZ3Bl4AaABAg,Johnny Christopher Depp,How long have you been a fan ?,2021-11-04T07:42:05Z,0
18,UgzLgxsH3sghvI5f2gd4AaABAg,Johnny Christopher Depp,"A big thank you to all my fans!
What will my name and career be without all of your love and support?
Amidst my darkest days you all stood by me, 
I don't have all the time in the world to reply, but i do read your heartwarming comments and i truly appreciate all.
It's the season of love
& so i decided to put smiles on the faces of my fans by going through old posts on my official page and hitting up random fans,
So i can get to relate with my fans better through discussions of depth and humour, listening to compliments and criticisms on career walk.",2021-11-04T07:39:05Z,1
19,UgyUjyL8Qa_HiiYwyfd4AaABAg,Johnny Christopher Depp,"A big thank you to all my fans!
What will my name and career be without all of your love and support?
Amidst my darkest days you all stood by me, 
I don't have all the time in the world to reply, but i do read your heartwarming comments and i truly appreciate all.
It's the season of love
& so i decided to put smiles on the faces of my fans by going through old posts on my official page and hitting up random fans,
So i can get to relate with my fans better through discussions of depth and humour, listening to compliments and criticisms on career walk.❤️",2021-11-04T07:38:56Z,0
20,UgzTZAhqjuUZQki940h4AaABAg,Johnny Christopher Depp,"A big thank you to all my fans!
What will my name and career be without all of your love and support?
Amidst my darkest days you all stood by me, 
I don't have all the time in the world to reply, but i do read your heartwarming comments and i truly appreciate all.
It's the season of love
& so i decided to put smiles on the faces of my fans by going through old posts on my official page and hitting up random fans,
So i can get to relate with my fans better through discussions of depth and humour, listening to compliments and criticisms on career walk.",2021-11-04T07:37:40Z,0
21,UgxsS4DYHXhYTi4XQ0t4AaABAg,Johnny Christopher Depp,Thanks for being a lovely fan 😍😍,2021-11-04T07:40:18Z,0
22,UgybVKu5TqdH8BBk1Zl4AaABAg,Johnny Christopher Depp,"A big thank you to all my fans!
What will my name and career be without all of your love and support?
Amidst my darkest days you all stood by me, 
I don't have all the time in the world to reply, but i do read your heartwarming comments and i truly appreciate all.
It's the season of love
& so i decided to put smiles on the faces of my fans by going through old posts on my official page and hitting up random fans,
So i can get to relate with my fans better through discussions of depth and humour, listening to compliments and criticisms on career walk.💕",2021-11-04T07:37:55Z,0
23,UgynSasM9Zi7ZVxS4kx4AaABAg,_CuteGirl_JD_,"Why do I need this story of yours about your life and I don't understand why write this

￼",2021-08-02T07:05:59Z,2
