,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,Ugw1rNrfA0y1XMyUYXh4AaABAg,Akshat Choudhary,No one is perfect in this world even the court decision,2021-07-14T17:47:24Z,0
1,Ugybd3FP4DgGAB_GLCZ4AaABAg,Danish h,Ok  I am not watching Aquaman in theater,2021-07-07T11:02:14Z,0
2,Ugybd3FP4DgGAB_GLCZ4AaABAg,Apurba ghosh,🧜‍♂️,2021-07-06T08:12:19Z,0
3,UgxPq7mAP64UdXLeYFZ4AaABAg,devasish Sinha,@Aesthetic-Nostalgia i know some women get raped but what innocent man did they get justice.....even a 40 years women also rape a small boy especially in UP and bihar even in Assam hostel girl raped a man cut their neck and throw their body..... media didn't show this type of news.....tum larkio ka sath galat hozai toh justice mil jata h mgr hm mard logo ka kya..... western country me jake dek kitne male suicide attempt krte hai.... feminist log apne ji gender ko support krte h thats why i hate feminist.....or ha ek kahawat h ek hat se tali nein bajti......,2021-07-07T06:28:01Z,0
4,UgxPq7mAP64UdXLeYFZ4AaABAg,devasish Sinha,@Aesthetic-Nostalgia lol nice joke if feminist want equality then where is equality 70 percent dowri case are false 60 percent rape case are false....then tell me where is equality......most of the women they are doing same job just like man..... even though they get more facilities then men......specially metro train and buses tell me this is equality.....,2021-07-05T17:19:43Z,0
5,UgxPq7mAP64UdXLeYFZ4AaABAg,devasish Sinha,Most of the feminism are toxic they are male haters,2021-07-05T16:46:53Z,1
6,UgxZDGnrdAt4JX6-Vp54AaABAg,Equivocal,Reunion from GoT ❤️,2021-07-07T11:33:30Z,1
7,UgybRqZmQbcr70eu_Hx4AaABAg,biswarup das,@Abhijeet Chouhan will see after release,2021-07-03T08:32:55Z,0
8,UgybRqZmQbcr70eu_Hx4AaABAg,Abhijeet Chouhan,Nobody cares .still gonna earn 1 billion,2021-07-02T12:46:26Z,0
9,UgytfKbrM1HqTBweArN4AaABAg,Rachet87,@Abhijeet Chouhan 😤😡😠,2021-07-19T19:52:39Z,0
10,UgytfKbrM1HqTBweArN4AaABAg,Abhijeet Chouhan,@biswarup das kids not invited,2021-07-04T07:30:49Z,0
11,UgytfKbrM1HqTBweArN4AaABAg,devasish Sinha,Tu hi dekna idiot,2021-07-04T03:33:40Z,0
12,UgytfKbrM1HqTBweArN4AaABAg,Romeo Cool,@biswarup das 🤣🤣👍👍,2021-07-03T11:16:27Z,1
13,UgytfKbrM1HqTBweArN4AaABAg,biswarup das,@Abhijeet Chouhan atleast 1 people will watch..,2021-07-03T08:33:34Z,1
14,Ugy5xrCRncSySLbkNQt4AaABAg,Shan E Haider,Saying that most of movie critics in Hollywood are 'white' men is not racist.,2021-11-01T16:20:15Z,0
15,Ugy5xrCRncSySLbkNQt4AaABAg,Roberto J.,"Which is why we should boycott ONLY when they fire people, and not when they don't fire them.",2021-07-01T23:42:21Z,1
16,UgyLHIp1lYYNfKXaYHV4AaABAg,Abhijeet Chouhan,@Bishal ghaley thankfully youtube started deleting his comments,2021-07-06T18:52:07Z,0
