,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgyqYjI92xAGcRZewEh4AaABAg,Binge Central,Don’t do it,2021-10-17T02:57:12Z,1
1,Ugyn3LQinF2oRjPItPh4AaABAg,Binge Central,Yea seriously tho,2021-10-15T23:00:33Z,0
2,UgwFJg7fnsuummptjp54AaABAg,Binge Central,Not even close,2021-10-13T15:45:15Z,1
3,Ugyn15o4oGOJweVyGr14AaABAg,Binge Central,Yep with you there,2021-10-12T13:21:36Z,1
4,UgznKidI7ZjSSM9M81N4AaABAg,Binge Central,Do it today,2021-10-12T13:21:41Z,1
5,Ugx607JcKXCSBNosoTN4AaABAg,Russ Hall,"@Binge Central  oh, hi! 
I avoid Warner movies, cable etc. 
And watch JD's everything I can find, with plenty of Thumbs Up and watching their ads, even the long ones 😎",2021-10-10T17:45:59Z,0
6,Ugx607JcKXCSBNosoTN4AaABAg,Binge Central,How will you do it,2021-10-10T17:37:50Z,1
7,UgwlIv-9wwM7EVXw9wV4AaABAg,Binge Central,@The Young Yoda wow that is very cool,2021-10-10T18:17:09Z,0
8,UgwlIv-9wwM7EVXw9wV4AaABAg,The Young Yoda,"@Binge Central I work within the same industry as he does, so what. I've spoken with Nathan Fillon and got involved with Con Man. Spoken with Johnny on several  occasions. 
Been acting, producing, directing, also a published author and screen writer.",2021-10-10T16:13:15Z,0
9,UgwlIv-9wwM7EVXw9wV4AaABAg,Binge Central,You spoke to him?,2021-10-10T15:44:23Z,1
10,UgyfX-9gw7tYqehRu1Z4AaABAg,Binge Central,💪🏼💪🏼,2021-10-10T00:42:26Z,1
11,UgwUPvk0frM6WSan11h4AaABAg,Binge Central,Don’t be,2021-10-07T15:19:13Z,1
12,UgxOqa6OVxrJ-y54NlJ4AaABAg,Binge Central,We all feel bad,2021-10-07T15:22:29Z,1
13,UgwNSYD9IzJsAfnGrbt4AaABAg,Binge Central,It’s pretty crazy,2021-10-05T19:28:04Z,1
14,UgwDudIm3k61yidxWKR4AaABAg,David Hacking-Bonilla,"As in orange jumpsuit. Because with the level of things that AH has done. She is looking at jail time and some say that it might be up to 3 to 5 years.

If it is less then 5 then this just proves that the US justice system is just as bad as the ones in the U.K(when JD lost his court case against The Sun), which was also total BS.",2021-10-05T20:06:27Z,0
15,UgwDudIm3k61yidxWKR4AaABAg,Binge Central,Orange? Lol,2021-10-05T19:28:22Z,2
16,UgzwbtrGSlzgMod5mgh4AaABAg,Binge Central,She’s just out having a good time smh,2021-10-05T19:28:57Z,1
17,UgwlXHB8G1i6lMMx2Ox4AaABAg,Binge Central,Well said,2021-10-01T02:08:10Z,1
18,Ugzm9a0Wx7E8RuP5emB4AaABAg,Binge Central,Justice forever,2021-10-01T02:08:21Z,1
19,Ugxpvl1vahWhboiTi9x4AaABAg,Binge Central,Didnt like it at all?,2021-10-01T02:10:55Z,1
20,Ugy5JB23RIcBIUPwUuJ4AaABAg,Binge Central,Unfortunately not,2021-10-01T02:13:00Z,1
21,UgwfOXnTEGx6wdF7Dlh4AaABAg,Binge Central,Watch my other videos,2021-09-28T13:00:06Z,1
22,UgxNmVFGv27WXn2OWGF4AaABAg,Binge Central,Man,2021-09-28T02:27:43Z,2
23,Ugx3JJn1HidWSyl9EHJ4AaABAg,Binge Central,Yes please,2021-09-28T02:29:06Z,1
24,UgyI9Byc41e0W-lFI1F4AaABAg,Binge Central,Maybe they’ve tried?,2021-09-28T02:29:30Z,1
25,UgwwE76kv2FJcOPtRS94AaABAg,Binge Central,Fair enough,2021-09-28T02:29:37Z,1
26,Ugxv5BRyBll5yt3v9O54AaABAg,Adriana Perry,@Binge Central major justice For the GOAT Johnny Depp,2021-09-28T02:54:28Z,0
27,Ugxv5BRyBll5yt3v9O54AaABAg,Binge Central,She does,2021-09-28T02:29:54Z,2
28,UgxdpwEXeX-a5dc2kzh4AaABAg,Binge Central,Haha for the audience,2021-09-28T13:01:47Z,1
29,Ugz6xDA6bgF0FdPmVkp4AaABAg,Mohd Jefry,@Binge Central I've been there outside the court talking to her the truth about Johnny's f***king problem,2021-09-28T04:15:35Z,0
30,Ugz6xDA6bgF0FdPmVkp4AaABAg,Binge Central,Think you got it backwards,2021-09-28T02:30:54Z,1
31,Ugz7b-fTM81tJh2Ty2N4AaABAg,Binge Central,Did you like the first one,2021-09-28T02:30:20Z,1
32,Ugzi73yuFYWY_oJPw5R4AaABAg,Binge Central,Yes a big shame,2021-09-22T19:41:26Z,1
33,UgwbF8BI6kVJAumXZFl4AaABAg,Binge Central,Yea don’t watch it,2021-09-22T19:41:46Z,1
34,Ugw_E9tpLatGqKayGDl4AaABAg,Binge Central,That’s a good one,2021-09-22T19:42:25Z,1
35,Ugwy3BkT09LZ-qO1FPR4AaABAg,Binge Central,He’s one of the best,2021-09-22T19:43:55Z,2
36,Ugyeaw1pnRlW6FwHLDp4AaABAg,Binge Central,Yes justice indeed,2021-09-22T19:45:21Z,1
37,Ugzw9tOQHs_lUID1fvB4AaABAg,Binge Central,You are correct,2021-09-22T19:45:38Z,1
38,Ugx8exnnDstDptGw7eB4AaABAg,Binge Central,It’s a real vibe,2021-09-22T19:47:00Z,1
39,UgxgrPgFqQsj8KfYS454AaABAg,Binge Central,Hope it’s not released,2021-09-22T19:47:09Z,1
40,UgwJQbzEG4hcdg392aB4AaABAg,Binge Central,🗑🗑,2021-09-17T02:01:37Z,2
41,UgwpaV9z6R52Eq8eb8B4AaABAg,Binge Central,It’s ok they’ll understand,2021-09-17T02:02:09Z,1
42,UgxImf4AugRBnlqMpDh4AaABAg,Binge Central,Yep WB messed up,2021-09-17T02:02:34Z,2
43,UgyPLtfVKBe5ybzw0Mx4AaABAg,Binge Central,🤛🤛,2021-09-13T15:28:26Z,1
44,Ugy9kx1FH8Gxs3aPkJN4AaABAg,Binge Central,Always,2021-09-13T15:28:31Z,2
45,UgzvQCMw72O-6Gl0lfl4AaABAg,Binge Central,Good 4 u,2021-09-13T15:31:27Z,1
46,UgzZDoOc5D57NXrCFwd4AaABAg,Jd Peugeot,"Jason made his decision tbh I don’t feel bad at all bcoz he’s going to continue on having a healthy career, WB has put a big finger up at all the fans and have stood by a person who commits dv and perjury I don’t know how people can invest in WB n still manage to enjoy their product knowing they r lining the pockets of amber turd",2021-09-24T04:16:00Z,0
47,UgxFgdYSsSOtnoiDnU94AaABAg,Binge Central,Def not real,2021-09-09T03:00:44Z,1
48,UgyN_FGSeuJixTeD9u94AaABAg,Binge Central,Major facts,2021-09-09T03:01:19Z,1
49,UgwZqdLXq5ybrCX9QqF4AaABAg,Binge Central,The movie itself was ok,2021-09-09T03:03:14Z,1
