,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgyPA4ZxYZd8v2hU5LR4AaABAg,Kim Talley,@Come Geek Somewow.. cold and calculated doesn't begin to describe her!,2020-10-17T20:17:28Z,0
1,UgyPA4ZxYZd8v2hU5LR4AaABAg,Come Geek Some,His mum died round the time that she started all her bullshit in May 2016,2020-10-17T19:43:49Z,1
2,UgwKaYUECsdv2BV3oZ94AaABAg,Come Geek Some,Legend!,2020-08-26T18:53:07Z,1
3,UgxSUy2INNj_V3BssmZ4AaABAg,KrKest,"If was the https://www.change.org/p/dc-entertainment-remove-amber-heard-from-aquaman-2
Petition update",2020-08-25T19:51:50Z,2
4,Ugy3r-1eSqveL27Lkcx4AaABAg,Come Geek Some,Hey Florin! Quite a few people are saying that they've taken her name off the website but is still with them. Probably just saving themselves trouble online.,2020-08-22T16:07:00Z,0
5,UgxK0hEdrIAetuCAoH94AaABAg,Lonley Katerina,"@Come Geek Some I saw none during 
This is my 1st time visiting your channel..very interesting and will be back",2020-08-20T21:00:42Z,0
6,UgxK0hEdrIAetuCAoH94AaABAg,L Peterson,@Come Geek Some it was the sponsored by bar under the vid when I opened the page on my phone...hilarious,2020-08-20T02:08:03Z,0
7,UgxK0hEdrIAetuCAoH94AaABAg,Come Geek Some,Haha was that an ad during the video??,2020-08-19T20:18:23Z,0
8,UgxYtJjHwadVT4FbOC54AaABAg,Brennan Armacost,He even made the law better for actors and musicians by now allowing verbal contracts. Everything has to be in writing now. It was a groundbreaking case!,2021-06-05T08:13:33Z,1
9,Ugygn_WOohtH4iqfQ2F4AaABAg,Jackie Rios,Agreed ....not one dime.,2020-12-03T17:51:00Z,0
10,Ugygn_WOohtH4iqfQ2F4AaABAg,Julie Lea,"L'oreal, Revlon, Too Faced, and about 100 other companies!!! All owned by L'oreal, who AH is a "" WOMAN OF WORTH""",2020-08-27T03:36:31Z,0
11,Ugygn_WOohtH4iqfQ2F4AaABAg,Doodle the Travel Bug,Bahahah! Yes!!!!,2020-08-27T02:13:00Z,2
12,UgwdYsv6w0ewe8XSEeZ4AaABAg,lisa richards,"It’s just you guys repeating each other, all doing the same video, saying she still in the film. 
There is no substantiation for the claim. 
Hollywood is shut down, and no one is in production, or pre-production.",2020-08-18T22:20:42Z,0
