,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgwTQXRexypo_sPHA-54AaABAg,Binge Central,Everyone likes her,2021-11-14T03:57:24Z,1
1,Ugz99PfQefkoilkAHeV4AaABAg,Binge Central,That’s not happening,2021-11-05T14:29:25Z,1
2,UgxQ-2wBNAJIuqKIEGN4AaABAg,Binge Central,Hahaha oh man Rosie,2021-10-23T13:20:31Z,1
3,UgzuILnYh6wn5091Sf94AaABAg,Binge Central,Yes!!!,2021-10-21T13:08:42Z,1
4,UgyZb_X8B5i9Y5aIVM94AaABAg,Binge Central,Emilia *,2021-10-11T19:24:27Z,0
5,UgypZrxm6geHABDRND54AaABAg,Binge Central,What’s WB thinking??,2021-10-07T15:23:03Z,1
6,UgwKC8ZkZLs6kv2Xa4p4AaABAg,Binge Central,Emilia Clarke needs to replace her,2021-10-05T19:31:22Z,1
7,UgxDQn3XKdcqF57Mih14AaABAg,Binge Central,Yess yes,2021-10-01T02:13:10Z,1
8,UgymeHMFXF04x9kYOZt4AaABAg,Binge Central,Yea so? Lol,2021-09-13T15:44:32Z,1
9,UgzwAy0dITZCeLmTErZ4AaABAg,Binge Central,💯💯,2021-09-09T03:00:32Z,1
10,UgzzCvGOSNYFLaisgBp4AaABAg,Binge Central,Heard to McDonald’s?,2021-09-09T03:02:02Z,0
11,Ugz1I1J4A68AyWhBYdB4AaABAg,Binge Central,It would be great,2021-09-09T03:02:34Z,1
12,UgxVWmz9swvxC450SQ54AaABAg,Binge Central,I’m sure they’ve seen it,2021-08-30T21:16:32Z,1
13,Ugz43VMXoKgbh83Yg3R4AaABAg,Binge Central,It’s all a game,2021-08-24T05:07:29Z,1
14,UgyOCaJ3fidNZZavi3R4AaABAg,Binge Central,It would be so cool,2021-08-24T05:19:27Z,0
15,UgxGfNghHc1Gm06V4VV4AaABAg,Binge Central,Yeah she would be great,2021-08-20T06:39:08Z,1
16,UgwTV_uAnM-iLYCKCcx4AaABAg,Binge Central,Guesss you’re not watching,2021-08-20T06:39:01Z,1
17,UgyR1kIEtIE8hsFd0Kl4AaABAg,Binge Central,That’s a great idea actually,2021-08-20T06:37:28Z,1
18,UgwYMtIe0Jvqywgw27p4AaABAg,Binge Central,Major fax,2021-08-20T06:37:03Z,2
