,parentId,authorDisplayName,replyComment,publishedAt,likeCount
0,UgzM0cdLIhoV4cxjJNd4AaABAg,Patty H0skins,💜🎠FUN TIMES 🎠💜,2020-11-15T02:41:06Z,0
1,UgzM0cdLIhoV4cxjJNd4AaABAg,Jennifer Mullins,"""Barn witch"" is my favorite nickname for Amber that you have used.",2020-11-14T18:14:32Z,2
2,UgzM0cdLIhoV4cxjJNd4AaABAg,Gynette Marcil,Skip the into ??? Are you nuts !?,2020-11-13T22:46:01Z,2
3,UgzM0cdLIhoV4cxjJNd4AaABAg,Portfolio _cs,"What a gentleman, gonna keep watching for such hospitality",2020-11-13T19:36:01Z,0
4,UgzM0cdLIhoV4cxjJNd4AaABAg,Dawn Dickson,"No skipping ! I come for the news, I stay for the intro and hilarious banter 😃",2020-11-13T18:12:22Z,1
5,UgxLQrDXHJsy7CnptWd4AaABAg,DarthN3ws,🖤🖤🖤,2020-11-21T22:52:37Z,1
6,UgxEPijbixZfxQwouEx4AaABAg,DarthN3ws,"Frank, I couldn't agree more with you 💯",2020-11-17T19:26:42Z,0
7,UgwqOpKfinqYx9QWpih4AaABAg,liel aharoni,@DarthN3ws hmm 🤭,2020-11-15T18:55:33Z,0
8,UgwqOpKfinqYx9QWpih4AaABAg,DarthN3ws,Orrrrr... Maybe I'm actually British pretending to be American 🤔🤔,2020-11-15T18:16:22Z,1
9,Ugz1fTVo5VMNKm1lxaF4AaABAg,DarthN3ws,"Goddammit. Thanks for the update, I'll report on that soon",2020-11-14T19:59:48Z,0
10,UgxzjIMAb93f06NQfJ14AaABAg,Pam Burkey,Aka Terry Dowling!! 😂😂😂,2020-11-14T02:41:06Z,1
11,UgwdOWdaoalXcZdjCk54AaABAg,erwin,No video,2020-11-15T23:42:14Z,0
12,UgwdOWdaoalXcZdjCk54AaABAg,erwin,Snap er niks van,2020-11-15T23:41:30Z,0
13,Ugz3Mn-PTtChbszGHnB4AaABAg,Nikki Webber,"As of now, the petition has reached 1,300,000!",2020-11-14T23:17:18Z,0
14,Ugz3Mn-PTtChbszGHnB4AaABAg,Shanan Alexander,I signed this morning and a friend signed it too.,2020-11-13T17:06:38Z,1
15,Ugx1udMxGWh3MTR-jmh4AaABAg,Sarah Wells,Truth right there 👆,2020-11-13T11:52:41Z,1
16,Ugww5lkv6zRmgpecCmF4AaABAg,emily cheetham,Or the actress who played Phoenix in xmen,2020-11-14T11:44:59Z,0
17,UgzL_6B9SNd7d7VNIsB4AaABAg,Joanne,Maybe he does...,2020-11-13T16:53:35Z,0
18,UgxDSx9K3HYn9SITEl14AaABAg,Purity_ 242,why tho,2020-11-14T11:35:04Z,0
19,UgxDSx9K3HYn9SITEl14AaABAg,C. Nyawira Gichohi,"We also hate amber here in Kenya, can't see the pirates of the Caribbean and fantastic beasts even though I like Eddie Redmayne the same way smh",2020-11-13T10:28:19Z,12
20,UgyNzNr30Xg4fK06W414AaABAg,Mistica Davis,"Did you hear that Amber”s petition to have Jennifer Howell not testify was dismissed. And the court is calling her nonsensical, absurd, abusive and harassing in her efforts to get his information. Here is TUG’s coverage. 

https://youtu.be/AjN1PJ48WKA",2020-11-18T22:46:01Z,0
21,UgyNzNr30Xg4fK06W414AaABAg,Pam Burkey,Lol @ Crispin Glover! 😀,2020-11-14T02:26:02Z,0
22,UgyNzNr30Xg4fK06W414AaABAg,Kat herine,We gotta make sure this man is surrounded by love when he goes. Someone please shit on Amber's grave.,2020-11-13T14:21:00Z,5
23,UgzLWf_9GTATKvvqjkB4AaABAg,Alpaca Rancher,@Marianne Smit Well spoken!,2020-11-14T14:24:00Z,0
24,UgzLWf_9GTATKvvqjkB4AaABAg,Alpaca Rancher,"This is one of the most clear-headed, accurate, insightful comment that I have read. Yes. Yes. Everything you say! Absolutely!",2020-11-14T14:23:06Z,1
25,UgzLWf_9GTATKvvqjkB4AaABAg,G Rose22,"Its the media that really needs to go, their giving this bitch a platform!",2020-11-14T12:32:12Z,3
26,UgzLWf_9GTATKvvqjkB4AaABAg,Savage Karma,or keeps pretending like we absolutely LOOOOVE her? and adore her? she needs to get off that fuggin podium of hers. she won't feel so loved when she's in a dark and cold and damp cell!!!,2020-11-13T15:16:58Z,5
27,UgzLWf_9GTATKvvqjkB4AaABAg,Mimi B,"Instead of being woke, they need to wake the 🤬 up!",2020-11-13T08:21:05Z,9
28,UgzlIS8MHXRhmjeORFt4AaABAg,Grace Aban,Remove ambturd💩,2020-11-13T05:50:34Z,1
29,Ugys44IBr3UjC0xrfEN4AaABAg,Toni U,"I get what you’re saying, I hope you’re wrong. She is dumb, but the people supporting her aren’t unfortunately.",2020-11-13T09:20:15Z,1
30,UgwMKviNfJb5D1JN-Lp4AaABAg,DarthN3ws,Thank u for watching ✌💀,2020-11-13T04:40:52Z,0
31,UgzUO1LyoThXCy3nY_d4AaABAg,DarthN3ws,😂,2020-11-13T04:41:32Z,0
32,UgzcQGCS50thkhY4fQt4AaABAg,Shanan Alexander,Nice thought.,2020-11-13T17:03:15Z,0
33,UgzcQGCS50thkhY4fQt4AaABAg,Kate Vernile,"The do investigate her, hopefully they will also charge her so she will be done!",2020-11-13T08:26:45Z,1
34,UgzcQGCS50thkhY4fQt4AaABAg,Mimi B,@Dr. Simple Beauty 300 Australia is still actively investigating her and they are paying attention to what's going on in social media and with the VA case.,2020-11-13T08:26:37Z,2
35,UgzcQGCS50thkhY4fQt4AaABAg,Kate Vernile,"Maybe this is what WB wants, so they won’t have to pay her?",2020-11-13T08:25:34Z,3
36,UgzcQGCS50thkhY4fQt4AaABAg,Aichi Toshiki,@megaman37456 I now know why. Got it,2020-11-13T06:36:56Z,0
37,Ugz_IeoipjvKwCdfV_h4AaABAg,victoria jolly,@desiree king on Facebook and Twitter there a lot and on small occasions when gossip YT channels cover this topic aswell,2020-11-15T22:51:02Z,2
38,Ugz_IeoipjvKwCdfV_h4AaABAg,desiree king,"huh, I have not come across any AH supporters, are there any?",2020-11-15T18:49:12Z,1
39,Ugz_IeoipjvKwCdfV_h4AaABAg,victoria jolly,"@vanessa sanders i know right, I doesnt matter what facts or evidence you bring to the table, these people refuse to see reason. Bunch of thickets I tell you.",2020-11-13T12:18:50Z,4
40,Ugz_IeoipjvKwCdfV_h4AaABAg,Carole Ball,Thanks for defending Johnny.,2020-11-13T10:09:06Z,5
41,UgwjXkE_JWU0cH3fj5N4AaABAg,K. Stevenson,🇬🇧,2020-11-13T04:21:04Z,2
42,Ugz293cgasUGUkJVlIB4AaABAg,desiree king,"@Umair Rashid 
you can show support for Johnny by joining his Instagram, 8.3 million, gained roughly 3 million since the trial",2020-11-15T18:47:14Z,0
43,Ugz293cgasUGUkJVlIB4AaABAg,Nikki Webber,"@SweetChastity As of now, the petition is over 1,300,000!",2020-11-14T23:09:48Z,2
